disease,drug
MIM217200,D00006
MIM239350,D00006
MIM261515,D00012
MIM206200,D00018
MIM240400,D00018
MIM250790,D00018
MIM173200,D00023
MIM179800,D00037
MIM179830,D00037
MIM310468,D00037
MIM604278,D00037
MIM194200,D00045
MIM144010,D00049
MIM144650,D00049
MIM145590,D00050
MIM102300,D00059
MIM168100,D00059
MIM225740,D00065
MIM225755,D00065
MIM260970,D00065
MIM608033,D00065
MIM217200,D00066
MIM215470,D00067
MIM311360,D00067
MIM147530,D00068
MIM115300,D00069
MIM277350,D00069
MIM114480,D00075
MIM215470,D00075
MIM241100,D00075
MIM146500,D00076
MIM231090,D00079
MIM125600,D00088
MIM166760,D00088
MIM233810,D00088
MIM145100,D00094
MIM145200,D00094
MIM151590,D00094
MIM182000,D00094
MIM276300,D00094
MIM604416,D00094
MIM137750,D00095
MIM137760,D00095
MIM147540,D00095
MIM208550,D00095
MIM600807,D00095
MIM601682,D00095
MIM106400,D00097
MIM125600,D00097
MIM147530,D00097
MIM604416,D00097
MIM125700,D00101
MIM304900,D00101
MIM102500,D00105
MIM114480,D00105
MIM176807,D00105
MIM215470,D00105
MIM311360,D00105
MIM161900,D00106
MIM178600,D00106
MIM188030,D00106
MIM603165,D00107
MIM107320,D00109
MIM125310,D00109
MIM140600,D00109
MIM145590,D00109
MIM147530,D00109
MIM150600,D00109
MIM152700,D00109
MIM157300,D00109
MIM165720,D00109
MIM208230,D00109
MIM601367,D00109
MIM607459,D00109
MIM607850,D00109
MIM147530,D00110
MIM608088,D00110
MIM190310,D00113
MIM226150,D00113
MIM133600,D00118
MIM133690,D00118
MIM140600,D00118
MIM145590,D00118
MIM147530,D00118
MIM150600,D00118
MIM157300,D00118
MIM165720,D00118
MIM208230,D00118
MIM252320,D00118
MIM607459,D00118
MIM607850,D00118
MIM133690,D00120
MIM140600,D00120
MIM147530,D00120
MIM165720,D00120
MIM175100,D00120
MIM208230,D00120
MIM607459,D00120
MIM607850,D00120
MIM208550,D00124
MIM600807,D00124
MIM182280,D00125
MIM236000,D00125
MIM273300,D00125
MIM276300,D00125
MIM140600,D00126
MIM145590,D00126
MIM147530,D00126
MIM150600,D00126
MIM165720,D00126
MIM208230,D00126
MIM252320,D00126
MIM607459,D00126
MIM607850,D00126
MIM140600,D00127
MIM165720,D00127
MIM208230,D00127
MIM607459,D00127
MIM607850,D00127
MIM146255,D00129
MIM277440,D00129
MIM277460,D00129
MIM140600,D00130
MIM147530,D00130
MIM165720,D00130
MIM208230,D00130
MIM607459,D00130
MIM607850,D00130
MIM103780,D00131
MIM140600,D00132
MIM145590,D00132
MIM165720,D00132
MIM208230,D00132
MIM607459,D00132
MIM607850,D00132
MIM127750,D00136
MIM137580,D00136
MIM181500,D00136
MIM182830,D00136
MIM107550,D00138
MIM125320,D00138
MIM158280,D00138
MIM168100,D00138
MIM168600,D00138
MIM190310,D00138
MIM226150,D00138
MIM604416,D00140
MIM133600,D00141
MIM133690,D00141
MIM140600,D00141
MIM147530,D00141
MIM157300,D00141
MIM165720,D00141
MIM208230,D00141
MIM246400,D00141
MIM263800,D00141
MIM602522,D00141
MIM607459,D00141
MIM607850,D00141
MIM109543,D00142
MIM109800,D00142
MIM114480,D00142
MIM114500,D00142
MIM133239,D00142
MIM137215,D00142
MIM151590,D00142
MIM182280,D00142
MIM208920,D00142
MIM223350,D00142
MIM231090,D00142
MIM233810,D00142
MIM236000,D00142
MIM246470,D00142
MIM247640,D00142
MIM254400,D00142
MIM259500,D00142
MIM267730,D00142
MIM268220,D00142
MIM273300,D00142
MIM276300,D00142
MIM601626,D00142
MIM166760,D00145
MIM208550,D00145
MIM604416,D00145
MIM144110,D00147
MIM190310,D00147
MIM200170,D00147
MIM226150,D00147
MIM260570,D00147
MIM276300,D00155
MIM170900,D00166
MIM109543,D00168
MIM223350,D00168
MIM236000,D00168
MIM246470,D00168
MIM247640,D00168
MIM267730,D00168
MIM276300,D00168
MIM601626,D00168
MIM188050,D00181
MIM102500,D00182
MIM131200,D00182
MIM184700,D00182
MIM192000,D00182
MIM215470,D00182
MIM604416,D00182
MIM152700,D00184
MIM254200,D00184
MIM145590,D00186
MIM166760,D00186
MIM208550,D00186
MIM258360,D00186
MIM266600,D00186
MIM146255,D00187
MIM241519,D00187
MIM259660,D00187
MIM277440,D00187
MIM102500,D00188
MIM166710,D00188
MIM266600,D00188
MIM161900,D00197
MIM608622,D00197
MIM137400,D00201
MIM600263,D00201
MIM604416,D00201
MIM109800,D00208
MIM137215,D00208
MIM246300,D00211
MIM125850,D00216
MIM125851,D00216
MIM125853,D00216
MIM600496,D00216
MIM140600,D00217
MIM145590,D00217
MIM147530,D00217
MIM157300,D00217
MIM608088,D00217
MIM147480,D00218
MIM215140,D00218
MIM217200,D00218
MIM239350,D00218
MIM243200,D00218
MIM600351,D00218
MIM125850,D00219
MIM125851,D00219
MIM125853,D00219
MIM600496,D00219
MIM268320,D00222
MIM310468,D00224
MIM602068,D00224
MIM167870,D00225
MIM252320,D00225
MIM276300,D00226
MIM208550,D00227
MIM210050,D00227
MIM600807,D00227
MIM212110,D00231
MIM147540,D00234
MIM110100,D00235
MIM157700,D00235
MIM134750,D00237
MIM126200,D00238
MIM152700,D00238
MIM160300,D00238
MIM181000,D00238
MIM188030,D00238
MIM208920,D00238
MIM233810,D00238
MIM254200,D00238
MIM266600,D00238
MIM126200,D00241
MIM128101,D00241
MIM143100,D00241
MIM147530,D00241
MIM189600,D00241
MIM190400,D00241
MIM601042,D00241
MIM607225,D00241
MIM608088,D00242
MIM145590,D00243
MIM125600,D00244
MIM133600,D00244
MIM151590,D00244
MIM603165,D00244
MIM191390,D00246
MIM208550,D00246
MIM210050,D00246
MIM266600,D00246
MIM600807,D00246
MIM146255,D00247
MIM161900,D00247
MIM166300,D00247
MIM203700,D00247
MIM208300,D00247
MIM210050,D00247
MIM215140,D00247
MIM256370,D00247
MIM600351,D00247
MIM608622,D00247
MIM223350,D00248
