KEGGID	Name	GeneList
D00001	Purified water (JP17), Purified water in containers (JP17), Sterile purified water in containers (JP17), Sterile water (TN), Water (JP17/USP), Water for injection (JP17), Water for injection in containers (JP17), Water, purified (USP)	 
D00002	Nadide (JAN/USAN/INN), Nicotinamide adenine dinucleotide	 
D00003	Oxygen (JP17/USP)	 
D00004	Carbon dioxide (JP17/USP), Carbon dioxide (TN)	 
D00005	Adeflavin (TN), Flavin adenine dinucleotide (JAN)	 
D00006	Hipyridoxin (TN), Pyridoxal phosphate hydrate (JP17), Pyridoxal phosphate monohydrate	 
D00007	Glutamic acid (USP), L-Glutamic acid (JP17)	 
D00008	Hydrogen peroxide (USP), Oxydol (JP17), Oxyfull (TN)	 
D00009	D-Glucose, Glucose (JP17), Purified glucose (JP17)	 
D00010	Acetasol (TN), Acetic acid (JP17/NF), Acetic acid, glacial (USP), Glacial acetic acid (JP17)	 
D00011	Glycine (JP17/USP)	 
D00012	Alanine (USP), L-Alanine (JP17)	 
D00013	Aspartic acid (USP/INN), L-Aspartic acid (JP17)	 
D00014	Glutathione (JP17), Glutathione (reduced type), Tathion (TN)	 
D00015	Endari (TN), Glutamine (USP), L-Glutamine (JP17), Levoglutamide, Nutrestore (TN)	 
D00016	L-Serine (JP17), Serine (USP)	 
D00017	Formaldehyde (USP), Formalin (JP17)	 
D00018	ASCOR (TN), Ascoltin (TN), Ascorbic acid (JP17/USP/INN), Ascorbicap (TN)	 
D00019	L-Methionine (JP17), L-Methionine Z (TN), Methionine (USP)	 
D00020	L-Tryptophan (JP17), Tryptophan (USP/INN)	 
D00021	L-Phenylalanine (JP17), Phenylalanine (USP/INN)	 
D00022	L-Tyrosine (JP17), Tyrosine (USP/INN)	 
D00023	Carbamide, Pastaron (TN), Urea (JP17/USP)	 
D00024	Bensulfoid (TN), Sastid (TN), Sulfur (JP17), Sulfur, precipitated (USP), Sulfur, sublimed (USP)	 
D00025	Sucrose (JP17/NF), Sucrose (TN), Sucrose, purified, Sugar spheres (NF), Sugar, compressible (NF), Sugar, confectioner's (NF), White soft sugar (JP17)	 
D00026	Ecolan (TN), L-Cysteine (JP17)	 
D00027	Uracil (JAN/USAN)	 
D00028	Concentrated glycerin (JP17), Glycerin (JP17/USP), Glycerin, concentrated (JAN), Glycerol (INN)	 
D00029	Bioepiderm (TN), Biotin (JP17/USP/INN)	 
D00030	L-Leucine (JP17), Leucine (USP)	 
D00031	Glutathione (TN), Oxiglutatione (JAN/INN)	 
D00032	Histidine (USP/INN), L-Histidine (JP17)	 
D00033	Liquefied phenol (JP17), Liquefied phenol (TN), Paoscle (TN), Phenol (JP17/USP), Phenol (TN), Phenol for disinfection (JP17), Phenol for disinfection (TN), Phenol, liquefied	 
D00034	Adenine (JAN/USP), Leucon (TN)	 
D00035	L-Proline (JP17), Proline (USP)	 
D00036	Niacinamide (USP), Nicotinamide (JP17/INN)	 
D00037	Anhydrous citric acid (JP17), Citric acid anhydrous (JAN), Citric acid, anhydrous (USP)	 
D00038	Benzoic acid (JP17/USP), Benzoic acid (TN)	 
D00039	L-Valine (JP17), Valine (USP)	 
D00040	Cholesterol (JP17/NF), Cholesterol (TN)	 
D00041	L-Threonine (JP17), Threonine (USP)	 
D00042	Calomide (TN), Cobamamide (JAN/INN)	 
D00043	Floropryl (TN), Fluostigmine, Isoflurophate	43, 590
D00044	Madoros (TN), Maltose (NF)	 
D00045	Adenocard (TN), Adenoscan (TN), Adenosine (JAN/USP)	134, 135, 136, 140
D00046	Anhydrous lactose (JP17), Lactose (TN), Lactose, anhydrous (JAN/NF)	 
D00047	Aminoethylsulfonic acid (JAN), Taurine (JP17/USP/INN), Taurine (TN)	 
D00048	Lipoamide, Thioctic acid amide (JAN)	 
D00049	Niacin (USP), Niacor (TN), Niaspan (TN), Nicotinic acid (JP17/INN)	 
D00050	Bisulase (TN), Riboflavin (JP17/USP/INN)	 
D00051	Androstenedione (JAN)	 
D00052	EDTA, Edetic acid (NF/INN), Versene acid (TN)	 
D00054	Inosine (JAN/INN), Inotin (TN)	 
D00055	Orotic acid (JAN)	 
D00056	Parenzyme (TN), Trypsin (JAN), Trypsin, crystallized (USP)	 
D00057	Citicoline (JP17/INN), Nicholin (TN)	 
D00058	Gammalon (TN), gamma-Aminobutyric acid (JAN)	2550, 2554, 2555, 2556, 2557, 2558, 2559, 2560, 2561, 2562, 2563, 2564, 2565, 2566, 2567, 2568, 55879, 9568
D00059	Dopar (TN), Levodopa (JP17/USP/INN)	1812, 1813, 1814, 1815, 1816
D00060	Dextran (INN), Dextran 1 (USP)	 
D00061	Klinit (TN), Xylitol (JP17/NF)	 
D00062	Bronchitol (TN), D-Mannitol (JP17), Mannitol (USP), Osmitrol (TN), Tobrex (TN)	 
D00063	Bethkis (TN), TOB, Tobi (TN), Tobracin (TN), Tobramycin (JP17/USP), Tobrex (TN)	 
D00064	Levomenthol, l-Menthol (JP17), l-Menthol (TN)	79054, 8989
D00065	Isoleucine (USP), L-Isoleucine (JP17)	 
D00066	Crinone (TN), Progesterone (JP17/USP/INN), Prometrium (TN)	5241
D00067	Estrone (JAN/USP/INN), Estrone (TN)	2099, 2100
D00068	Alcohol (USP), Anhydrous ethanol (JP17), Dehydrated ethanol, Dehydrated ethanol (TN), Ethyl alcohol	 
D00069	Chocola A (TN), Vitamin A oil (JP17)	 
D00070	Folic acid (JP17/USP/INN), Folicet (TN)	 
D00071	Fibronectin (human plasma) (JAN)	 
D00072	Cytochrome c (JAN), Cytorest (TN)	 
D00073	Eldoquin (TN), Hydroquinone (USP)	7299
D00074	INOmax (TN), Nitric oxide (JAN)	 
D00075	Androderm (TN), Androgel (TN), Axiron (TN), Striant (TN), Testim (TN), Testosterone (JAN/USP)	367
D00076	Nor adrenalin (TN), Noradrenaline (JP17), Norepinephrine (INN)	146, 147, 148, 150, 151, 152, 153, 154, 155
D00077	Benzyl alcohol (JP17/NF/INN), Ulesfia (TN)	 
D00078	Propylene glycol (JP17/USP), Propylene glycol (TN)	 
D00079	Cervidil (TN), Dinoprostone (JAN/USP/INN), Prepidil (TN), Prostin E2 (TN)	5732
D00080	Chondroitin sulfate A (JAN)	 
D00081	Dinoprost (JP17/USAN/INN), Prosmon (TN)	5737
D00082	Pyridoxamine phosphate (JAN), Pyridoxamine phosphate dihydrate	 
D00083	Nitrogen (JP17/NF), Nitrogen (TN)	 
D00084	Dextrin (JP17/NF)	 
D00085	Insulin (JAN/USP)	3643
D00086	Thioctic acid (JAN), Thiotomin (TN)	 
D00087	Bestatin (TN), Ubenimex (JP17/INN)	290
D00088	Acticort (TN), Anusol HC (TN), Colocort (TN), Cortef (TN), HC, Hydrocortisone (JP17/USP/INN), Hytone (TN), Plenadren (TN)	2908
D00089	Oxytocin (JP17/USP/INN), Oxytocin (TN), Pitocin (TN), Syntocinon (TN)	5021
D00090	Factor IIa, Thrombin (JP17/USP/INN), Thrombostat (TN)	 
D00091	Vanillin (NF)	 
D00092	Coptis rhizome (JP17), Coptis rhizome (TN), Powdered coptis rhizome (JP17)	 
D00093	Avicel PH (TN), Cellulose, microcrystalline (NF), Microcrystalline cellulose (JP17), Powdered cellulose (JP17)	 
D00094	Avita (TN), Renova (TN), Retin A (TN), Tretinoin (JAN/USP/INN), Tretinoin (TN)	5371, 5914, 5915, 5916
D00095	Adrenalin (TN), Adrenaline (JP17), Auvi-q (TN), Epinephrine (USP/INN), Epipen (TN)	146, 147, 148, 150, 151, 152, 153, 154, 155
D00096	D-Sorbitol (JP17), Sorbitol (NF), Sorbitol 3% in plastic container (TN)	 
D00097	Salicylic acid (JP17/USP), Salicylic acid (TN)	 
D00098	Camphor (USP), dl-Camphor (JP17)	 
D00099	Cetanol (JP17), Cetanol (TN), Cetyl alcohol (NF)	 
D00100	Menatetrenone (JP17/INN), Vitamin K2 (TN)	 
D00101	Pitressin (TN), Vasopressin (JP17/USP), Vasostrict (TN)	552, 553, 554
D00102	Nitrous oxide (JP17/USP), Nitrous oxide (TN)	 
D00103	Tartaric acid (JP17/NF), Tartaric acid (TN)	 
D00104	Amphicol (TN), CP, Chloramphenicol (JP17/USP/INN), Chloromycetin (TN), Econochlor (TN)	 
D00105	Climara (TN), Divigel (TN), Estrace (TN), Estraderm (TN), Estradiol (JAN/USP/INN), Estrasorb (TN), Estring (TN), Estrogel (TN), Innofem (TN), Vagifem (TN), Vivelle (TN)	2099, 2100
D00106	Epoprostenol (TN), Epoprostenol (USAN/INN), Prostacyclin, Prostaglandin I2	5739
D00107	Prograf (TN), Protopic (TN), Tacrolimus (USAN/INN), Tacrolimus hydrate (JP17)	11261, 5530, 5532, 5533, 5534, 5535, 63928
D00108	Cadex (TN), Iodine (JP17/USP)	 
D00109	Acetylsalicylic acid, Aspalon (JAN), Aspirin (JP17/USP), Durlaza (TN), Easprin (TN)	5742, 5743
D00110	Cocaine (TN), Cocaine (USP)	11280, 3757, 6323, 6326, 6328, 6329, 6331, 6334, 6335, 6336, 6530, 6531, 6532
D00111	Lactate (TN), Lactic acid (JP17/USP)	 
D00112	G-Strophanthin (JAN), Ouabain, Ouabain octahydrate	476, 477, 478, 480
D00113	Atropen (TN), Atropine (USP)	1128, 1129, 1131, 1132, 1133
D00114	D-Fructose, Fructon (TN), Fructose (JP17/USP)	 
D00115	Gelatin (JP17/NF), Gelfilm (TN)	 
D00116	Glucagon (JAN/USP/INN), Glucagon (TN), Glucagon (genetical recombination) (JAN)	2642
D00117	Creodon (TN), Guaiacol (JAN)	 
D00118	Naprosyn (TN), Naproxen (JP17/USP/INN)	5742, 5743
D00119	Stearic acid (JP17/NF), Stearic acid (TN)	 
D00120	Clinoril (TN), Sulindac (JP17/USP/INN)	5742, 5743
D00121	Allantoin (JAN/USP)	 
D00122	Calcifediol (USP/INN), Calcifediol monohydrate, Calderol (TN), Rayaldee (TN)	7421
D00123	Cyanamide (JP17), Cyanamide (TN)	217, 219, 224
D00124	Ephedrine (TN), Ephedrine (USP)	146, 147, 148, 150, 151, 152, 153, 154, 155
D00125	Etoposide (JP17/USP/INN), Vepesid (TN)	7153, 7155
D00126	Advil (TN), Ibuprofen (JP17/USP/INN), Motrin (TN)	5742, 5743
D00127	Feldene (TN), Piroxicam (JP17/USP/INN)	5742, 5743
D00128	BC, Baciim (TN), Bacitracin (JP17/USP/INN), Bacitracin (TN)	 
D00129	Calcitriol (JAN/USP/INN), Rocaltrol (TN)	7421
D00130	Diflunisal (JAN/USP/INN), Dolobid (TN)	5743
D00131	Antabuse (TN), Disulfiram (JP17/USP/INN)	217, 219, 224
D00132	Ketoprofen (JP17/USP/INN), Orudis (TN)	5742, 5743
D00133	Resorcin (JAN), Resorcin (TN), Resorcinol (USP)	 
D00134	Albendazole (JAN/USP/INN), Albenza (TN)	 
D00135	Capastat sulfate (TN), Capreomycin sulfate (JAN/USP)	 
D00136	Haldol (TN), Haloperidol (JP17/USP/INN)	1813
D00137	Isopro (TN), Isopropanol (JP17), Isopropyl alcohol (USP)	 
